,Predvidena ocena
"Harder They Come, The (1973)",5.0
Backdraft (1991),4.999999999999999
Phantasm II (1988),4.886777774252209
Cure (1997),4.398099996826988
"Body Snatcher, The (1945)",4.398099996826988
"Man Who Would Be King, The (1975)",4.330127018922194
"Cabinet of Dr. Caligari, The (Cabinet des Dr. Caligari., Das) (1920)",4.330127018922193
Saturday Night Fever (1977),4.199049998413495
William Shakespeare's Romeo + Juliet (1996),4.166666666666667
Reform School Girls (1986),4.166666666666667
"Beastmaster, The (1982)",4.166666666666667
The Hunger (1983),4.0380444430342175
Glory (1989),4.004798492104058
Better Luck Tomorrow (2002),4.0
Roger Dodger (2002),4.0
Sugar & Spice (2001),4.0
Less Than Zero (1987),4.0
"Trials of Henry Kissinger, The (2002)",4.0
Hurricane Streets (1997),4.0
"Cannonball Run, The (1981)",4.0
Sydney (Hard Eight) (1996),4.0
Far from Heaven (2002),4.0
Nowhere (1997),4.0
Herbie Rides Again (1974),4.0
Smokey and the Bandit II (1980),4.0
"Italian Job, The (1969)",4.0
Avalanche (1978),3.9999999999999996
"Longest Day, The (1962)",3.9999999999999996
"Guns of Navarone, The (1961)",3.9999999999999996
Richard III (1995),3.9094222194017676
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999)",3.9094222194017676
Night Flier (1997),3.9094222194017676
Charly (1968),3.9094222194017676
Naked Lunch (1991),3.9094222194017676
Candyman: Farewell to the Flesh (1995),3.9094222194017676
Quick Change (1990),3.9094222194017676
Bride of Re-Animator (1990),3.9094222194017676
House of Wax (1953),3.9094222194017676
Pirates of Silicon Valley (1999),3.9094222194017676
Robot Carnival (Roboto kânibauru) (1987),3.9094222194017676
Miracle Mile (1989),3.9094222194017676
K-19: The Widowmaker (2002),3.9094222194017676
Strangeland (1998),3.9094222194017676
Martin (1977),3.9094222194017676
Devil's Playground (2002),3.9094222194017676
Flickering Lights (Blinkende lygter) (2000),3.897559777889522
Rope (1948),3.8971143170299736
Crimson Tide (1995),3.87543573044937
Clash of the Titans (1981),3.780012477158768
American Flyers (1985),3.779644730092272
King of New York (1990),3.779644730092272
"7th Voyage of Sinbad, The (1958)",3.7037095388396715
Stand and Deliver (1988),3.6966791438254347
Rob Roy (1995),3.6806128045219304
Strange Brew (1983),3.6424256713875582
Executive Decision (1996),3.6310968417367597
Firestarter (1984),3.6213777763675505
Crumb (1994),3.5830002818049542
"Boot, Das (Boat, The) (1981)",3.568943078156093
Code 46 (2003),3.50780380010057
"Celebration, The (Festen) (1998)",3.50780380010057
Dune (2000),3.50780380010057
To End All Wars (2001),3.50780380010057
Avalon (2001),3.50780380010057
Boomerang (1992),3.5
Ninja Scroll (Jûbei ninpûchô) (1995),3.4761193737800604
UHF (1989),3.4761193737800604
"Negotiator, The (1998)",3.4660333322756625
"Right Stuff, The (1983)",3.464101615137755
The Infiltrator (2016),3.4641016151377544
Pumpkinhead (1988),3.4547111097008836
"Omega Man, The (1971)",3.4474792555946663
"Name of the Rose, The (Name der Rose, Der) (1986)",3.4474792555946663
Amores Perros (Love's a Bitch) (2000),3.428016128640509
Wall Street (1987),3.4207444419765465
"Witchfinder General (Conquerer Worm, The) (1968)",3.4207444419765465
Escape from Alcatraz (1979),3.4207444419765465
Once Bitten (1985),3.4207444419765465
Wings of Honneamise (Ôritsu uchûgun Oneamisu no tsubasa) (1987),3.4207444419765465
"Getaway, The (1972)",3.4207444419765465
Killing Zoe (1994),3.4207444419765465
"Crazies, The (a.k.a. Code Name: Trixie) (1973)",3.4207444419765465
Paperhouse (1988),3.4207444419765465
Extremities (1986),3.4207444419765465
"Jackal, The (1997)",3.4207444419765465
"Handmaid's Tale, The (1990)",3.4207444419765465
Black Mask (Hak hap) (1996),3.4207444419765465
Iron Monkey (Siu nin Wong Fei-hung ji: Tit Ma Lau) (1993),3.4207444419765465
Bad Company (1995),3.4207444419765465
"Decade Under the Influence, A (2003)",3.4207444419765465
Rawhead Rex (1986),3.4207444419765465
Benji (1974),3.3933582876508694
Funny Girl (1968),3.3933582876508694
Stir Crazy (1980),3.3933582876508694
Medicine Man (1992),3.3933582876508694
In the Mouth of Madness (1995),3.372462671644074
"American Friend, The (Amerikanische Freund, Der) (1977)",3.3722663671673114
"Abominable Dr. Phibes, The (1971)",3.3722663671673114
"Andalusian Dog, An (Chien andalou, Un) (1929)",3.3722663671673114
Alexander Nevsky (Aleksandr Nevskiy) (1938),3.3722663671673114
"5,000 Fingers of Dr. T, The (1953)",3.3722663671673114
7 Faces of Dr. Lao (1964),3.3722663671673114
"Aguirre: The Wrath of God (Aguirre, der Zorn Gottes) (1972)",3.3722663671673114
"Atomic Cafe, The (1982)",3.3722663671673114
20 Million Miles to Earth (1957),3.3722663671673114
"Brotherhood of the Wolf (Pacte des loups, Le) (2001)",3.3648482951495122
Dragonslayer (1981),3.3633458104921017
In the Line of Fire (1993),3.346211514278575
"Black Hole, The (1979)",3.3333333333333335
From Hell (2001),3.3333333333333335
Time After Time (1979),3.3333333333333335
Village of the Damned (1960),3.3333333333333335
Manhunter (1986),3.3333333333333335
Forbidden Planet (1956),3.3333333333333335
